Mots utilisé par les professionnels du BTP,Synonyme
Béton,Beton
coffrage,Banche
ferraillage,Armature
fondations,Assise structurelle
radier,Dalle de fondation
dalle,"dalle béton, dalle pleine"
plancher,Surface porteuse
poutre,Élément horizontal porteur
poteau,Élément vertical porteur
linteau,Traverse 
charpente,Structure de toiture
ossature,Structure porteuse
bardage,Parement extérieur
maçonnerie,Ouvrage en matériaux maçonnés
parpaing,Bloc béton creux
brique,Bloc terre cuite
enduit,Revêtement mural
ragréage,mortier de ragréage
chape,Couche de nivellement
carrelage,Revêtement de sol
faïence,Carrelage mural
plâtre,Enduit plâtreux
cloison,Paroi légère
doublage,Contre-cloison isolante
faux-plafond,Plafond suspendu
étanchéité,Barrière à l’humidité
membrane,Feuille imperméable
étanchéité à l’air,Barrière à l’infiltration d’air
isolant,Matériau isolant
isolation thermique,Protection thermique
laine de verre,Isolant minéral
laine de roche,Isolant incombustible
ouate de cellulose,Isolant biosourcé
ITE (isolation thermique par l’extérieur),Isolation par l’extérieur
ITI (isolation thermique intérieure),Isolation par l’intérieur
VMC,Ventilation Mécanique Contrôlée.
gaines,Conduits techniques
ventilation,Circulation d’air
désenfumage,Extraction de fumée
réseau électrique,Installation électrique
câblage,Réseau de fils électriques
GTB,Gestion Technique du Bâtiment
plomberie,Réseau sanitaire
évacuation EU/EP,Rejet des eaux usées/pluviales
multicouche,Tuyauterie composite
PER,Polyéthylène réticulé
ballon,Réservoir d’eau chaude
cumulus,Chauffe-eau électrique
chauffage,Système thermique
PAC (pompe à chaleur),Système thermodynamique
chaudière,Générateur thermique
radiateur,Émetteur de chaleur
plancher chauffant,Sol rayonnant
menuiserie,Ouvrage bois/alu/PVC
huisserie,Encadrement de porte ou fenêtre
fenêtre,Ouverture vitrée
double vitrage,Vitrage isolant
porte coupe-feu,Bloc-porte CF
serrurerie,Ferronnerie bâtiment
garde-corps,Barrière de sécurité
escalier,Structure de circulation verticale
revêtement,Finition de surface
peinture,Couche décorative
lasure,Protection bois microporeuse
vernis,Finition protectrice brillante
parquet,Plancher en bois
lino,Sol pvc
PVC,Revêtement plastique
moquette,Tapis textile
carrelage grès cérame,Dalle céramique technique
faïence murale,Revêtement mural émaillé
,
DCE (dossier de consultation des entreprises),Dossier d’appel d’offres
CCTP,Cahier des Clauses Techniques Particulières
CCAP,Cahier des Clauses Administratives Particulières.
plans,Documents graphiques
DOE (dossier des ouvrages exécutés),Dossier de fin de chantier
planning,Calendrier d’exécution
coordination,Gestion des interfaces
maîtrise d’œuvre,MOE
maîtrise d’ouvrage,MOA
OPC (ordonnancement pilotage coordination),Pilotage – Coordination (OPC)
réunion de chantier,Réunion de suivi des travaux
compte-rendu,Synthèse de réunion
PV de réception,Procès-verbal de fin de chantier
levée de réserves,Suppression des non-conformités
réserve,Défaut ou anomalie à corriger
sous-traitance,Exécution externalisée
lot,
appel d’offres,AO
"marché, marché public",Contrat 
devis,"Proposition tarifaire, chiffrage"
métrés,Quantitatif des ouvrages
BPU,Bordereau des Prix Unitaires
DPGF,Décomposition du Prix Global et Forfaitaire
attestation,Document justificatif
certificat de conformité,Validation technique ou administrative
visite technique,Relevé sur site
Gros œuvre,"Travaux de structure, Travaux de génie civil"
Second œuvre,Travaux d’aménagement
phase finition,Travaux de finition
réception,Validation des ouvrages
livraison,Remise du chantier
,
norme,Référence technique
DTU,Document Technique Unifié 
réglementation thermique,Exigences énergétiques
RE2020,Réglementation environnementale 2020
accessibilité PMR,Conformité handicap
sécurité incendie,Protection contre le feu
IGH,Immeuble grande hauteur
ERP,Établissement recevant du public
contrôle technique,Inspection réglementaire
bureau de contrôle,BC
SPS (coordonnateur sécurité protection santé),Coordinateur prévention risques
EPI (équipements de protection individuelle),Équipement de sécurité individuelle
signalisation,Marquage de sécurité
balisage,Délimitation chantier
barrière Heras,"clôture Heras, cloture de chantier, cloture provisoire, cloture amovible"
permis de construire,Autorisation d’urbanisme
déclaration préalable,Dossier simplifié d’urbanisme
permis de construire, déclaration préalable de travaux
,
estimation,Évaluation prévisionnelle des coûts
enveloppe budgétaire,Budget alloué
facture,Demande de paiement
situation de travaux,Facturation partielle liée à l’avancement
acompte,Paiement anticipé
retenue de garantie,Réserve contractuelle
pénalité de retard,Sanction financière pour dépassement de délai
prix unitaire,Coût par quantité
prix forfaitaire,Montant global fixe
avenant,Modification contractuelle
moins-value,Réduction du montant initial
plus-value,Augmentation du coût prévu
TVA,Taxe sur la valeur ajoutée
CEE (certificats d’économie d’énergie),Aide à la rénovation énergétique
subvention,Financement public partiel
financement,Modalité de paiement
amortissement,Répartition comptable dans le temps
,
béton désactivé,Béton décoratif à granulats apparents
béton armé,Béton renforcé par armatures
béton fibré,Béton renforcé par fibres synthétiques/métalliques
béton autoplaçant,Béton fluide autonivelant
adjuvant,Additif chimique pour béton
ciment,Liant hydraulique
chaux,Liant naturel
sable,Granulat fin
gravier,Granulat grossier
granulats,Agrégats pour béton ou mortier
mortier,Mélange ciment/sable/eau
colle carrelage,Mortier-colle
résine,Liant synthétique
bitume,Liant hydrocarboné
enrobé,Revêtement routier à base de bitume
acier,Métal d’armature ou de structure
aluminium,Métal léger et anticorrosion
zinc,Métal de couverture
cuivre,Métal conducteur ou de zinguerie
inox,Acier inoxydable
PVC,Polychlorure de vinyle
PEHD,Polyéthylène haute densité
polyuréthane,Isolant synthétique
placo,Plaque de plâtre
BA13,Placo standard 13 mm
Fermacell,Plaque fibre-gypse
bois massif,Bois naturel non transformé
bois lamellé-collé,Bois reconstitué en lamelles collées
OSB,Panneau de particules orientées
MDF,Panneau de fibres de bois
contreplaqué,Panneau multiplis
MDF,Habillage mural ou plafond
lambris,Parement intérieur bois
bardage bois,Revêtement extérieur en bois
bardage composite,Étanchéité synthétique caoutchouc
membrane EPDM,Film anti-condensation
pare-vapeur,Protection sous bardage
pare-pluie,Écran pare-pluie respirant
polystyrène,Isolant rigide haute performance
polyisocyanurate,Panneau isolant rigide PIR
mousse projetée,Peinture polyuréthane projeté
peinture glycéro,Peinture à base d’eau
peinture acrylique,Finition pour murs/plafonds
enduit de lissage,Enduit façade tout-en-un
enduit monocouche,Enduit monocouche façade
lasure bois,Finition bois haute résistance
vernis marin,Vernis marin polyuréthane
,
bétonnière,Malaxeur de béton
laser rotatif,Niveau laser automatique
télémètre,Mesureur laser
échafaudage,Structure de travail en hauteur
nacelle,Plateforme élévatrice
grue,Appareil de levage
pelle hydraulique,Engin de terrassement
mini-pelle,Pelle compacte
dumper,Tombereau de chantier
chargeuse,Engin de chargement
compacteur,Rouleau vibrant
plaque vibrante,Dameuse portative
marteau-piqueur,Brise-béton électroportatif
perforateur,Perceuse à percussion
visseuse,Tournevis électrique
disqueuse,Meuleuse à disque
meuleuse,Meule rotative
ponceuse,Machine de ponçage
scie circulaire,Scie électrique à lame ronde
scie sabre,Scie alternative
cutter,Couteau à lame rétractable
mètre,Ruban gradué
niveau,Niveau à bulle
règle alu,Règle de maçon
spatule,Lame souple de lissage
truelle,Outil de maçon pour appliquer le mortier
taloche,Outil de finition d’enduit
rouleau,Applicateur de peinture
pinceau,Brosse fine pour peinture
seau de maçon,Récipient de transport
auge,auge de maçon
bac à peinture,Seau de peinture
,
chef de chantier,Responsable de chantier
conducteur de travaux,Pilote d’opération / Coordinateur de travaux
maçon,Ouvrier en construction traditionnelle
grutier,Opérateur de grue
ferrailleur,Poseur d’armatures métalliques
coffreur,Coffreur/maçon
plaquiste,Poseur de cloisons sèches
carreleur,Poseur de revêtements céramiques
électricien,Installateur de réseaux électriques
plombier,Installateur sanitaire
chauffagiste,Technicien en systèmes thermiques
peintre,Applicateur de finitions murales
façadier,Spécialiste des revêtements extérieurs
couvreur,Poseur de toiture
étancheur,Poseur de membranes d’étanchéité
charpentier,Constructeur de structures bois
menuisier,Fabricant/poseur d’éléments boisés
serrurier,Métallier du bâtiment
métreur,Technicien en quantitatif / économiste de métré
économiste,Économiste de la construction
maître d’œuvre,Responsable technique de projet
architecte,Concepteur et coordinateur de projet
coordinateur SPS,Responsable Sécurité & Protection de la Santé
bureau d'études,Cellule technique de conception / calcul
géomètre,Technicien topographe
diagnostiqueur,Expert en pathologie du bâtiment
contrôleur technique,Inspecteur technique habilité
assistant à maîtrise d’ouvrage (AMO),Accompagnateur du maître d’ouvrage
responsable QSE,Responsable qualité sécurité environnement
,
permis de démolir,Autorisation de démolition
état des lieux,Relevé initial du bâtiment
